Example #,TTL_ZPT Text (Original),Segmentation
Example 1087,"bǣll.báˈdxē.lá.nēn,",bǣll=ba-dxēl=an=ēn
Example 1088,ga.zí.ˈrwa’n,ga´-ziru’=an
Example 1089,bǣll.ˈná.ín,bǣll=nā=īn
Example 1090,"ní.bá.ˈdxé.lá.nēn,",ni=ba-dxēl=an=ēn
Example 1091,za.zi.ˈrwa’n,za-ziru’=an
Example 1092,bǣll.ˈná.ín,bǣll=nā=īn
Example 1093,"ní.gu.ˈzyæ̰̂.nēn,",ni=gu-zḭ=an=ēn
Example 1094,kí.ˈxhæ’n,kíxhæ’=an
Example 1095,"nīk.txá.xī.tíˈgú.nyan,",nīktxá=xī=ti=g´-uny=an
Example 1096,kēd.ˈtxǽ.dyan,kēd=tx´-æ=di=an
Example 1097,"nīk.txá.tū.tíˈkwów,",nīktxá=tū=ti=kwów
Example 1098,kēd.ˈxyé.lú,kēd=xyěl=ṵ
Example 1099,"nīk.txá.tū.ˈkwów.ti,",nīktxá=tū=kwów=ti
Example 1100,kēd.ˈxyé.lú,kēd=xyěl=ṵ
Example 1101,"nīk.txá.tū.tí.guˈlôw,",nīktxá=tū=ti=gu-low
Example 1102,kēd.gú.ˈxyěl.dyan,kēd=gu-xyěl=di=an
Example 1103,"bǣll.kēd.gá.zí.ˈrwa’n,",bǣll=kēd=ga´-ziru’=an
Example 1104,ˈzæ̰n,z-æ=an
Example 1105,liz.ˈjḭb,lizgḭb
Example 1106,"*bǣll.kēd.gá.zí.ˈru’.dyan,",bǣll=kēd=ga´-ziru’=di=an
Example 1107,ˈzæ̰n,z-æ=an
Example 1108,liz.ˈjḭb,lizgḭb
Example 1109,"*bǣll.gá.zí.ˈrwa’n,","bǣll=ga´-ziru’=an,"
Example 1110,kēd.zǽ.dyan,kēd=z-æ=di=an
Example 1111,liz.ˈjḭb,lizgḭb
Example 1112,"bǣll.gá.zí.ˈrwa’n,","bǣll=ga´-ziru’=an,"
Example 1113,kēd.ˈtxǽ.dyan,kēd=tx´-æ=di=an
Example 1114,liz.ˈjḭb,lizgḭb
Example 1115,ˈmasy,masy
Example 1116,"ká.ˈnnḭ.dá.nnēn,","ká-nnḭ=dán=ēn,"
Example 1117,*ba.ˈxhī.zán,ba-xhīz=an
Example 1118,ˈmasy,masy
Example 1119,kēd.ˈgyé.nyan,kēd=g´-yeny=an
Example 1120,ˈxín,xī=īn
Example 1121,ˈsrū,srū
Example 1122,ˈnǎn,na=an
Example 1123,ˈmasy,masy
Example 1124,ˈnæz,næz
Example 1125,lo.ˈgyâ̰,low=gyâ̰
Example 1126,ri.ˈka̰.zan,ri-ka̰z=an
Example 1127,ˈrṵ̄n.gán,r-ṵ̄n=ga=an
Example 1128,ˈraw.gan,r-aw=ga=an
Example 1129,ká.ˈza.gan,ká-za=ga=an
Example 1130,ká.ˈnnḭ.gan,ká-nnḭ=ga=an
Example 1131,ˈzēky,zēky
Example 1132,ˈsá.gan,sá=ga=an
Example 1133,ˈnnḭ̂.gan,nnḭ̂=ga=an
Example 1134,ˈtyúb,té=g´-yúb
Example 1135,ˈtxô’n,tx´-ô’=un
Example 1136,#ˈbḭ̄n.gán,bḭ̄n=ga=an
Example 1137,gu.ˈdaw.gan,gu-daw=ga=an
Example 1138,*kēd.ká.ˈza.ga.dyan,kēd=ká-za=ga=di=an
Example 1139,kēd.ká.ˈnnḭ.ga.dyan,kēd=ká-nnḭ=ga=di=an
Example 1140,"ˈgudx.lán,",gu-adx=lā=an
Example 1141,txi.rúba.ˈsā’n.lā,txirú=ba-sā’n=lā
Example 1142,ka.ˈmyún,kamyún
Example 1143,ˈlǎ̰n,lǎ̰n
Example 1144,ba.ˈllṵb.lán,ba-llṵb=lā=an
Example 1145,lo.ˈnæz,lonæz
Example 1146,txi.rú.ˈgwæ.lán,txirú=gu-æ=lā=an
Example 1147,ˈdāyn,dāyn
